DeathZip,Year,Deaths
90022,2022,14
90022,2023,7
90023,2012,5
90023,2013,3
90023,2014,4
90023,2015,6
90023,2016,6
90023,2017,5
90023,2018,4
90023,2019,8
90023,2020,12
90023,2021,9
90023,2022,23
90023,2023,23
90024,2014,1
90024,2015,2
90024,2016,1
90024,2017,3
90024,2018,2
90024,2019,2
90024,2020,7
90024,2021,8
90024,2022,4
90024,2023,4
90025,2014,2
90025,2015,3
90025,2016,1
90025,2017,5
90025,2018,5
90025,2019,6
90025,2020,9
90025,2021,15
90025,2022,13
90025,2023,7
90026,2012,1
90026,2014,2
90026,2015,14
90026,2016,4
90026,2017,6
90026,2018,10
90026,2019,16
90026,2020,27
90026,2021,27
90026,2022,20
90026,2023,21
90027,2012,10
90027,2013,11
90027,2014,5
90027,2015,8
90027,2016,9
90027,2017,7
90027,2018,12
90027,2019,23
90027,2020,26
90027,2021,30
90027,2022,33
90027,2023,27
90028,2012,8
90028,2013,3
90028,2014,10
90028,2015,8
90028,2016,10
90028,2017,17
90028,2018,13
90028,2019,25
90028,2020,30
90028,2021,46
90028,2022,41
90028,2023,24
90029,2012,2
90029,2013,3
90029,2014,2
90029,2015,6
90029,2016,3
90029,2017,4
90029,2019,6
90029,2020,12
90029,2021,10
90029,2022,18
90029,2023,13
90030,2019,1
90031,2013,5
90031,2014,6
90031,2015,4
90031,2016,1
90031,2017,3
90031,2018,7
90031,2019,6
90031,2020,7
90031,2021,9
90031,2022,9
90031,2023,11
90032,2012,2
90032,2013,3
90032,2014,3
90032,2015,4
90032,2016,9
90032,2017,3
90032,2018,1
90032,2019,5
90032,2020,5
90032,2021,7
90032,2022,16
90032,2023,8
90033,2012,15
90033,2013,17
90033,2014,16
90033,2015,19
90033,2016,17
90033,2017,22
90033,2018,34
90033,2019,32
90033,2020,57
90033,2021,60
90033,2022,62
90033,2023,61
90034,2012,3
90034,2013,3
90034,2014,6
90034,2015,9
90034,2016,4
90034,2017,8
90034,2018,8
90034,2019,12
90034,2020,20
90034,2021,14
90034,2022,14
90034,2023,8
90035,2013,2
90035,2014,2
90035,2015,3
90035,2016,3
90035,2018,4
90035,2019,6
90035,2020,6
90035,2021,2
90035,2022,3
90035,2023,5
90036,2012,1
90036,2013,5
90036,2014,1
90036,2015,3
90036,2016,5
90036,2018,10
90036,2019,12
90036,2020,11
90036,2021,10
90036,2022,8
90036,2023,3
90037,2013,8
90037,2014,7
